Action,Property Type,Property Name,Property Description,Property Value Type,Property Schema Status,Property Visibility,Property Is Array,Property Value Type,String Property Value Min Length,String Property Value Max Length,Number Is Integer,Number Property Value Min,Number Property Value Max,Array Unique Items,Array Min Items,Array Max Items,Enum Values,Const Value,Property Regex,Property First Seen,Property Last Seen
IGNORE,User Property,[Experiment] test-key-kelson,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-07-11,2023-07-11
IGNORE,User Property,[Experiment] test-sanity_test-override,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-09-17,2025-06-07
IGNORE,User Property,[Experiment] test-web-experiment,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-03-04,2025-03-06
IGNORE,User Property,[Experiment] web-ex-redir-test,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-08,2025-04-08
IGNORE,User Property,[Experiment] web-experiment-page-test,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-11-13,2025-06-07
IGNORE,User Property,[Experiment] xss-test,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-08,2025-04-23
,User Property,[Mutiny] _All users a/b/c homepage hero test 030422 - product analytics,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-03-04,2025-06-07
,User Property,[Mutiny] _B2B companies - homepage hero logo bar - 040522,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-04-05,2025-06-07
,User Property,[Mutiny] _B2C Blog Readers,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-03-23,2025-06-06
,User Property,[Mutiny] _E-com companies - homepage hero logo bar - 040522,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-04-05,2025-06-07
,User Property,[Mutiny] _Ecommerce Blog Readers,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-03-23,2025-06-05
,User Property,"[Mutiny] _EMEA - Food Delivery - Contact Us, Home Page logos",,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-06-01,2025-01-17
,User Property,[Mutiny] _EMEA Food Delivery Campaign - LinkedIn Paid Ads,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-05-24,2022-06-25
,User Property,[Mutiny] _EMEA Greco Awareness - LinkedIn Paid Social,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-05-24,2022-10-27
,User Property,[Mutiny] _EMEA Greco Awareness - Why I Joined - LinkedIn Paid Social,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-05-20,2022-05-24
,User Property,[Mutiny] _EMEA Greco Awareness Campaign - LinkedIn Paid Social,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-05-19,2025-05-15
,User Property,[Mutiny] _EMEA UK - London Product Club Banner,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-06-03,2025-06-05
,User Property,[Mutiny] _Finserv companies - homepage hero logo bar - 040522,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-04-05,2025-06-07
,User Property,[Mutiny] _First-time blog visitors,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-06-22,2025-06-06
,User Property,[Mutiny] _Get started branded PPC ad-to-LP personalization (051722),,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-05-17,2025-06-06
,User Property,[Mutiny] _Homepage hero h1 for enterprise users - build better products,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-02-24,2025-06-04
,User Property,[Mutiny] _Homepage hero h1 for startup companies - product analytics,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-02-24,2025-06-07
,User Property,[Mutiny] _Homepage secondary hero banner CTA - 041422,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-04-14,2025-06-07
,User Property,[Mutiny] _Media Companies - homepage hero logo bar - 040522,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-04-12,2025-06-06
,User Property,[Mutiny] _On demand demo promo bar all pages minus home 041222,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-04-12,2025-06-07
,User Property,[Mutiny] _Retail Companies - homepage hero logo bar - 040522,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-04-12,2025-06-06
,User Property,[Mutiny] _Startup companies,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-02-24,2022-02-28
IGNORE,User Property,[Mutiny] _Unicorn - Blogs - Ungated,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-11-22,2024-10-16
IGNORE,User Property,[Mutiny] 6clicks_Online Demo Video Test,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-09-27,2025-06-06
,User Property,[Mutiny] All non-homepage pages for nav_Not SMB,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2022-01-12,2025-06-07
IGNORE,User Property,[Mutiny] Amazon Grocery_Amazon Grocery (Amazon),,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-07-03,2025-03-26
IGNORE,User Property,[Mutiny] Amazon_Amazon,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-08-30,2024-01-02
